ID Investigación,Código Investigación,Expediente,Tipo producto,Título,Incluir en ficha,Orden,Link inicial,Requiere edición,Link del editable,Link para ficha,% de Avance,Estado de edición,Fecha estimada,Notas
33,PARCHE EN LA BUENA 01 DIAGNÓSTICO Y ANÁLISIS ENCUESTA VIP,202391004200100060E,Informe final,Análisis de resultados Encuesta Violencia Interpersonal,Sí,2,https://docs.google.com/document/d/1GTcqgMmqDE_sS43k1uEg4ax97Wa95IqM/edit#heading=h.yf5rkoie9uw8,Sí,,,,2 En proceso,,
33,PARCHE EN LA BUENA 01 DIAGNÓSTICO Y ANÁLISIS ENCUESTA VIP,202391004200100060E,Presentación,Presentación resultados encuesta Violencia Interpersonal 2022,Sí,3,https://docs.google.com/presentation/d/1SbUAdyIoTo3cSd_qdh02bjDAUOBpWJ0E/edit?usp=sharing&ouid=107620873899620490538&rtpof=true&sd=true,Sí,,,,2 En proceso,,
33,PARCHE EN LA BUENA 01 DIAGNÓSTICO Y ANÁLISIS ENCUESTA VIP,202391004200100060E,Base de datos,Bases de datos de encuesta de Violencia Interpersonal 2022,Sí,4,https://docs.google.com/spreadsheets/d/1e5xpp4x-csYk403dkr5zv3R0tEcSuk0W/edit?usp=sharing&ouid=105090632649587320414&rtpof=true&sd=true,,,https://docs.google.com/spreadsheets/d/1e5xpp4x-csYk403dkr5zv3R0tEcSuk0W/edit?usp=sharing&ouid=105090632649587320414&rtpof=true&sd=true,,0 No aplica,,
46,BOGOTA CONCIENTE 01 FESTIVAL CALMA,202391004200100054E,Informe final,Festival Calma en la Ciudad,Sí,1,https://docs.google.com/presentation/d/17z1HjNPUb_Hjr9Bk0U0QdSzsl7B1CEdtDWiqdfTy9ho/edit?usp=sharing,Sí,,,,3 Editado,08/08/23,
46,BOGOTA CONCIENTE 01 FESTIVAL CALMA,202391004200100054E,Audiovisual,Entrevistas Festival Calma en la Ciudad,Sí,2,,No,,,,,,
46,BOGOTA CONCIENTE 01 FESTIVAL CALMA,,Base de datos,Base de datos anonimizada,,,https://docs.google.com/spreadsheets/d/1-7bH5zfcH8l-BYYjPFKBe2ql6Q26hyl7/edit?usp=sharing&ouid=105090632649587320414&rtpof=true&sd=true,,,,,,,
46,BOGOTA CONCIENTE 01 FESTIVAL CALMA,,Informe cuantitativo,Procesamiento estadístico,,,https://docs.google.com/spreadsheets/d/1GT5GZeYdwPdpV4DsIarPiAbqmKKJFc2m/edit?usp=sharing&ouid=105090632649587320414&rtpof=true&sd=true,,,,,,,
42,ESCUELA DE HOMBRES 03 SISTEMA CAPTURA INFORMACIÓN,,Informe final,Informe final de la investigación,Sí,1,https://docs.google.com/document/d/1xdhZPJmSftx0yAM85DRnqhVgyljYmehx5s0wc2lHbos/edit,Sí,,https://docs.google.com/document/d/1xdhZPJmSftx0yAM85DRnqhVgyljYmehx5s0wc2lHbos/edit,,4 En revisión,,Finalización pendiente por Mauricio Ojeda
42,ESCUELA DE HOMBRES 03 SISTEMA CAPTURA INFORMACIÓN,,Base de datos,Estructura de datos anonimizada,Sí,2,,No,,https://docs.google.com/spreadsheets/d/10vKwTJwW-YlAsCnGr2rKJ-497b7FbcWUvU5Ecg-CzJ4/edit#gid=1889535523,,0 No aplica,,
42,ESCUELA DE HOMBRES 03 SISTEMA CAPTURA INFORMACIÓN,,Visualización/Infografía,Tablero de control Estrategia,Sí,3,,Sí,,https://lookerstudio.google.com/reporting/ddb3de9d-6ff5-4347-b635-91830511fb3a/page/p_gdgj81np6c,,2 En proceso,,Finalización pendiente por Mauricio Ojeda
